Season,Home_team,FT_score,Away_team,Winning_manager,Top_scorer,Top_scorer_club,Top_scorer_country,Top_scorer_goals,Top_scorer_position
23/24,Borussia Dortmund,0:2,Real Madrid,Carlo Ancelotti,"Harry Kane, Kylian Mbappé","Bayern Munich, Paris Saint-Germain","England, France",8,"Centre-Forward, Centre-Forward"
22/23,Manchester City,1:0,Inter Milan,Pep Guardiola,Erling Haaland,Manchester City,Norway,12,Centre-Forward
21/22,Liverpool FC,0:1,Real Madrid,Carlo Ancelotti,Karim Benzema,Real Madrid,France,15,Centre-Forward
20/21,Manchester City,0:1,Chelsea FC,Thomas Tuchel,Erling Haaland,Borussia Dortmund,Norway,10,Centre-Forward
19/20,Paris Saint-Germain,0:1,Bayern Munich,Hansi Flick,Robert Lewandowski,Bayern Munich,Poland,15,Centre-Forward
18/19,Tottenham Hotspur,0:2,Liverpool FC,Jürgen Klopp,Lionel Messi,FC Barcelona,Argentina,12,Right Winger
17/18,Real Madrid,3:1,Liverpool FC,Zinédine Zidane,Cristiano Ronaldo,Real Madrid,Portugal,15,Centre-Forward
16/17,Juventus FC,1:4,Real Madrid,Zinédine Zidane,Cristiano Ronaldo,Real Madrid,Portugal,12,Centre-Forward
15/16,Real Madrid,6:4 on pens,Atlético de Madrid,Zinédine Zidane,Cristiano Ronaldo,Real Madrid,Portugal,16,Centre-Forward
14/15,Juventus FC,1:3,FC Barcelona,Luis Enrique,"Cristiano Ronaldo, Lionel Messi, Neymar","Real Madrid, FC Barcelona, FC Barcelona","Portugal, Argentina, Brazil",10,"Centre-Forward, Right Winger, Left Winger"
13/14,Real Madrid,4:1 AET,Atlético de Madrid,Carlo Ancelotti,Cristiano Ronaldo,Real Madrid,Portugal,17,Centre-Forward
12/13,Borussia Dortmund,1:2,Bayern Munich,Jupp Heynckes,Cristiano Ronaldo,Real Madrid,Portugal,12,Centre-Forward
